Classifier,Kind,Vocabulary Size,Ngram 1,Ngram 2,Coverage,F1 (micro),F1 (macro),F1 (weighted)
rf,char,2000,1,3,0.9408871739228137,0.9822727272727273,0.9827748565865394,0.9827748351928001
rf,char,5000,1,3,0.9638896201036257,0.9820454545454546,0.9825086968200558,0.9825170561304718
rf,char,1000,1,3,0.9167085064172119,0.9811363636363636,0.9816881110016215,0.9815860322193068
rf,char,5000,1,2,0.983999024095844,0.980909090909091,0.9814831799566608,0.981428778593758
rf,char,2000,1,2,0.9598473223629721,0.980909090909091,0.9814466564858293,0.9814046750135497
svc,char,5000,1,3,0.9638896201036257,0.9806818181818182,0.9811227163774562,0.9810760040319582
svc,char,2000,1,3,0.9408871739228137,0.9804545454545455,0.9808945555119483,0.9808598826916682
rf,char,1000,1,2,0.9348757327306697,0.98,0.9804931593839828,0.98046383684808
svc,char,1000,1,3,0.9167085064172119,0.9793181818181819,0.9797625564342304,0.9797482600629004
svc,char,2000,1,2,0.9598473223629721,0.9788636363636364,0.9793322156075471,0.9792850867181815
svc,char,1000,1,2,0.9348757327306697,0.9788636363636364,0.9793207571300916,0.97927868906929
svc,char,5000,1,2,0.983999024095844,0.9786363636363636,0.9790919169199132,0.9790537787818481
nb,char,5000,1,3,0.9638896201036257,0.9765909090909091,0.9775019782854512,0.9775151935166857
nb,char,2000,1,3,0.9408871739228137,0.9761363636363637,0.9770438540000878,0.9770773391810669
knn,char,5000,1,3,0.9638896201036257,0.9754545454545455,0.9760476294141521,0.9760337868684484
nb,char,1000,1,3,0.9167085064172119,0.9747727272727272,0.9756624611364013,0.9756788192185656
knn,char,2000,1,3,0.9408871739228137,0.975,0.9755539698252874,0.9755651628481808
nb,char,2000,1,2,0.9598473223629721,0.9740909090909091,0.9750382452469514,0.9750548167268128
nb,char,5000,1,2,0.983999024095844,0.9734090909090909,0.9744595151084838,0.9744801221066355
knn,char,5000,1,2,0.983999024095844,0.9736363636363636,0.9741746508544383,0.9741756270122724
knn,char,2000,1,2,0.9598473223629721,0.9736363636363636,0.9741492549485639,0.9741374676916235
nb,char,1000,1,2,0.9348757327306697,0.9731818181818181,0.9740883323774647,0.9740735332957752
rf,char,5000,1,1,0.9992860490648655,0.9731818181818181,0.9739303258588886,0.9737350206017029
knn,char,1000,1,2,0.9348757327306697,0.9731818181818181,0.973644863351548,0.9736540420661004
knn,char,1000,1,3,0.9167085064172119,0.9729545454545454,0.9735064626848711,0.9735222285518692
rf,char,1000,1,1,0.9808517331929401,0.9729545454545454,0.9735933067214194,0.9734367648906463
rf,char,2000,1,1,0.9928643429019024,0.9718181818181818,0.9725590393047324,0.9723422927820631
svc,char,5000,1,1,0.9992860490648655,0.9620454545454545,0.9629120763667253,0.9627860254209373
svc,char,2000,1,1,0.9928643429019024,0.9620454545454545,0.9629120763667253,0.9627860254209373
svc,char,1000,1,1,0.9808517331929401,0.961590909090909,0.9624048991678745,0.9623096780927771
nb,char,1000,1,1,0.9808517331929401,0.9552272727272727,0.9578334706797794,0.9574109803676452
